Text,Category
Can you provide some facts to me about MathWorks?,Facts
Can you tell me something about MathWorks?,Facts
What is MathWorks?,Facts
Tell me something about the company.,Facts
What are some facts about the company.,Facts
What is my track?,Track
Can you tell me what my track is?,Track
Please tell me my track.,Track
What is my interview status?,Status
What is my status?,Status
Can you tell me my interview status?,Status
Provide me some details about the interview status,Status
Give me the status of my interview.,Status
What is the schedule of my interview?,Schedule
Can you tell me the timing of the interview?,Schedule
At what time is my interview going to be,Schedule
When is my interview scheduled?,Schedule
What Is the timing of the interview,Schedule
What is details of the interview,Schedule
Can you give me my interviewer details?,Interviewer
Please tell me about the interviewer,Interviewer
Who is the interviewer?,Interviewer
Who is my interviewer?,Interviewer
Who is going to take my interview?,Interviewer
Give me some details about my interviewer.,Interviewer
Can you help me with the commands?,Help
What are the commands?,Help
Can you show me the commands?,Help
Please help me with the bot.,Help
